,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
384,2642.0,2048.0,524.0,0.0,0.834491491317749,1.0,0.9097796082496643,0.20373250544071198,0.7687687687687688
385,2642.0,2047.0,525.0,0.0,0.834227979183197,1.0,0.9096230268478394,0.20412130653858185,0.7707707707707707
386,2642.0,2045.0,527.0,0.0,0.833701491355896,1.0,0.9093099236488342,0.2048989087343216,0.7727727727727728
387,2642.0,2043.0,529.0,0.0,0.8331756591796875,1.0,0.9089970588684082,0.20567651093006134,0.7747747747747747
388,2642.0,2039.0,533.0,0.0,0.8321259617805481,1.0,0.9083719849586487,0.20723173022270203,0.7767767767767768
389,2642.0,2035.0,537.0,0.0,0.8310789465904236,1.0,0.9077478051185608,0.20878693461418152,0.7787787787787788
390,2642.0,2031.0,541.0,0.0,0.8300345540046692,1.0,0.9071244597434998,0.210342139005661,0.7807807807807807
391,2642.0,2029.0,543.0,0.0,0.8295133709907532,1.0,0.9068130850791931,0.21111975610256195,0.7827827827827828
392,2642.0,2027.0,545.0,0.0,0.8289927840232849,1.0,0.9065019488334656,0.2118973582983017,0.7847847847847848
393,2642.0,2022.0,550.0,0.0,0.8276942372322083,1.0,0.9057250618934631,0.21384136378765106,0.7867867867867868
394,2642.0,2015.0,557.0,0.0,0.8258830904960632,1.0,0.9046396017074585,0.21656298637390137,0.7887887887887888
395,2642.0,2014.0,558.0,0.0,0.8256250023841858,1.0,0.904484748840332,0.21695178747177124,0.7907907907907907
396,2642.0,2011.0,561.0,0.0,0.8248516917228699,1.0,0.9040205478668213,0.21811819076538086,0.7927927927927928
397,2642.0,2009.0,563.0,0.0,0.8243369460105896,1.0,0.9037113189697266,0.2188958078622818,0.7947947947947948
398,2642.0,2001.0,571.0,0.0,0.822284460067749,1.0,0.9024764895439148,0.22200621664524078,0.7967967967967968
399,2642.0,1997.0,575.0,0.0,0.8212620615959167,1.0,0.9018603563308716,0.22356143593788147,0.7987987987987988
400,2642.0,1992.0,580.0,0.0,0.8199875950813293,1.0,0.9010913968086243,0.22550544142723083,0.8008008008008007
401,2642.0,1989.0,583.0,0.0,0.8192248344421387,1.0,0.9006306529045105,0.22667184472084045,0.8028028028028028
402,2642.0,1983.0,589.0,0.0,0.8177034854888916,1.0,0.8997105360031128,0.2290046662092209,0.8048048048048048
